hadith_slug,book_title,hadith_number,chain_number,position,raw_name,narrator_slug,transmission_word,match_confidence,match_notes,raw_chain_text,continuity_status,quality_status,notes,verified
first-revelation-at-hira,Sahih al-Bukhari,3,1,1,Aisha bint Abi Bakr,aisha-bint-abi-bakr,an,1.0000,"Mother of the Believers","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih al-Bukhari,3,1,2,Urwah ibn al-Zubayr,urwah-ibn-al-zubayr,an,1.0000,"Successor jurist of Medina","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih al-Bukhari,3,1,3,Ibn Shihab al-Zuhri,ibn-shihab-al-zuhri,an,1.0000,"Pivotal hadith authority","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih al-Bukhari,3,1,4,Uqayl ibn Khalid,uqayl-ibn-khalid,an,1.0000,"Thiqah transmitter from Ayla","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih al-Bukhari,3,1,5,Al-Layth ibn Sa'd,al-layth-ibn-sad,haddathana,1.0000,"Imam and Faqih of Egypt","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih al-Bukhari,3,1,6,Yahya ibn Bukayr,yahya-ibn-bukayr,haddathana,1.0000,"Egyptian master teacher of al-Bukhari","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين",muttasil,sahih,"Primary canonical chain in Sahih al-Bukhari",true
first-revelation-at-hira,Sahih Muslim,160a,1,1,Aisha bint Abi Bakr,aisha-bint-abi-bakr,akhbarat,1.0000,"Mother of the Believers","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
first-revelation-at-hira,Sahih Muslim,160a,1,2,Urwah ibn al-Zubayr,urwah-ibn-al-zubayr,haddathani,1.0000,"Successor jurist of Medina","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
first-revelation-at-hira,Sahih Muslim,160a,1,3,Ibn Shihab al-Zuhri,ibn-shihab-al-zuhri,an,1.0000,"Pivotal hadith authority","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
first-revelation-at-hira,Sahih Muslim,160a,1,4,Yunus ibn Yazid,yunus-ibn-yazid,akhbarani,1.0000,"Thiqah transmitter from Ayla","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
