slug,name,arabic_name,alternative_names,birth_year_ah,death_year_ah,region,generation,biography,summary_score,identity_status
aisha-bint-abi-bakr,Aisha bint Abi Bakr,عائشة بنت أبي بكر,"{Umm al-Mu'minin,Aisha}",,58,Medina,Companion,"Wife of the Prophet and one of the most prolific scholars and narrators among the Companions.",100,verified
urwah-ibn-al-zubayr,Urwah ibn al-Zubayr,عروة بن الزبير,"{Urwa,Abu Abd Allah}",23,94,Medina,Successor,"One of the Seven Fuqaha of Medina; prominent jurist and scholar of early Islamic history and Maghazi.",98,verified
ibn-shihab-al-zuhri,Ibn Shihab al-Zuhri,ابن شهاب الزهري,"{Muhammad ibn Muslim al-Zuhri,al-Zuhri}",58,124,Medina,Successor,"Pivotal authority in hadith transmission and codification; teacher of Malik, al-Layth, and Uqayl.",99,verified
uqayl-ibn-khalid,Uqayl ibn Khalid,عقيل بن خالد,"{Uqayl ibn Khalid al-Ayli}",,144,Egypt,later_transmitter,"Thiqah transmitter from Ayla who studied closely under al-Zuhri; relied upon by al-Bukhari and Muslim.",92,verified
al-layth-ibn-sad,Al-Layth ibn Sa'd,الليث بن سعد,"{Imam al-Layth,Abu al-Harith}",94,175,Egypt,later_transmitter,"Eminent jurist and chief scholar of Egypt; praised by al-Shafi'i for immense knowledge and reliability.",98,verified
yahya-ibn-bukayr,Yahya ibn Bukayr,يحيى بن بكير,"{Yahya ibn Abd Allah ibn Bukayr}",154,231,Egypt,later_transmitter,"Prominent Egyptian hadith transmitter and key teacher of Imam al-Bukhari in his Sahih.",90,verified
yunus-ibn-yazid,Yunus ibn Yazid,يونس بن يزيد,"{Yunus ibn Yazid al-Ayli}",,159,Egypt,later_transmitter,"Major transmitter from al-Zuhri; relied upon by Imam Muslim in his Sahih.",91,verified
abdullah-ibn-wahb,Abd Allah ibn Wahb,عبد الله بن وهب,"{Ibn Wahb,Abu Muhammad}",125,197,Egypt,later_transmitter,"Prominent Egyptian jurist and hadith master; author of al-Muwatta al-Saghir and Jami'.",96,verified
abu-al-tahir-ibn-sarh,Abu al-Tahir ibn Sarh,أبو الطاهر بن السرح,"{Ahmad ibn Amr ibn Sarh}",170,250,Egypt,later_transmitter,"Thiqah hadith master of Egypt and one of the principal teachers of Imam Muslim.",92,verified
harmala-ibn-yahya,Harmala ibn Yahya,حرملة بن يحيى,"{Harmala ibn Yahya al-Tujibi}",166,243,Egypt,later_transmitter,"Companion of al-Shafi'i and reliable transmitter relied upon by Imam Muslim.",90,verified
jabir-ibn-abdullah,Jabir ibn Abd Allah,جابر بن عبد الله,"{Jabir ibn Abd Allah al-Ansari}",,78,Medina,Companion,"Prominent Ansari Companion present at the Pledge of Aqaba; one of the prolific narrators of Hadith.",99,verified
abu-salama-ibn-abd-al-rahman,Abu Salama ibn Abd al-Rahman,أبو سلمة بن عبد الرحمن,"{Abu Salama}",,94,Medina,Successor,"One of the eminent jurists of Medina and son of the Companion Abd al-Rahman ibn Awf.",95,verified
ali-ibn-abi-talib,Ali ibn Abi Talib,علي بن أبي طالب,"{Amir al-Mu'minin,Abu al-Hasan,Imam Ali}",23,40,Kufa,Companion,"Cousin and son-in-law of the Prophet, fourth righteous Caliph, first Shia Imam, and eyewitness at Hira.",100,verified
sharif-al-radi,Al-Sharif al-Radi,الشريف الرضي,"{Muhammad ibn al-Husayn al-Musawi}",359,406,Baghdad,later_transmitter,"Renowned scholar, poet, and compiler of Nahj al-Balagha.",95,verified
jafar-al-sadiq,Ja'far al-Sadiq,جعفر الصادق,"{Imam al-Sadiq,Abu Abd Allah}",83,148,Medina,Imam,"Sixth Imam of the Ahl al-Bayt; foundational authority on Islamic jurisprudence, theology, and ethics.",100,verified
zurarah-ibn-ayan,Zurarah ibn A'yan,زرارة بن أعين,"{Zurara,Abu al-Hasan}",80,150,Kufa,later_transmitter,"Chief disciple of Imam al-Baqir and Imam al-Sadiq; among the foremost jurists of the Ashab al-Ijma.",96,verified
hisham-ibn-salim,Hisham ibn Salim,هشام بن سالم,"{Hisham ibn Salim al-Jawaliqi}",,183,Kufa,later_transmitter,"Trusted companion and narrator from Imam al-Sadiq and Imam al-Kazim.",92,verified
muhammad-ibn-abi-umayr,Muhammad ibn Abi Umayr,محمد بن أبي عمير,"{Ibn Abi Umayr,Abu Ahmad}",,217,Baghdad,later_transmitter,"Celebrated Imami hadith authority; one of the consensus transmitters whose marasil are accepted as musnad.",98,verified
ibrahim-ibn-hashim,Ibrahim ibn Hashim,إبراهيم بن هاشم,"{Ibrahim ibn Hashim al-Qummi,Abu Ishaq}",,270,Qom,later_transmitter,"Pioneer who transmitted Kufan hadith traditions to the seminary of Qom; highly trusted narrator.",94,verified
ali-ibn-ibrahim,Ali ibn Ibrahim,علي بن إبراهيم,"{Ali ibn Ibrahim al-Qummi}",,329,Qom,later_transmitter,"Eminent Imami hadith scholar, author of Tafsir al-Qummi, and principal teacher of al-Kulayni.",97,verified
abd-al-aziz-ibn-abi-hazim,Abd al-Aziz ibn Abi Hazim,عبد العزيز بن أبي حازم,"{}",,184,Medina,later_transmitter,,,unverified
